mirror,domain,total_articles,first_day,last_day,sources_listed,avg_alternates,languages
a,a.network.news-pravda.com,9115815,2023-06-23,2026-09-07,1000,3.17,en|fr|de|es|ro|ar
abkhazia,abkhazia.news-pravda.com,13673,2024-12-27,2026-09-07,4,1.72,ab
albania,albania.news-pravda.com,5664,2024-03-28,2026-09-06,473,12.93,en|sq|sr|fr|de|tr
algeria,algeria.news-pravda.com,9807,2024-12-27,2026-09-07,462,5.67,ar|en|fr|de|es|tr
armenia,armenia.news-pravda.com,60642,2024-11-08,2026-09-07,952,3.95,hy|en|fr|tr|de|ka
au,au.news-pravda.com,34265,2024-11-08,2026-09-07,888,3.22,en|fr|de|ja|mi|es
australia,australia.news-pravda.com,34233,2024-11-08,2026-09-07,885,3.87,en|fr|de|ja|mi|es
austria,austria.news-pravda.com,42781,2024-11-08,2026-09-07,861,4.37,de|en|fr|hu|it|pl
balkan,balkan.news-pravda.com,177480,2024-12-03,2026-09-07,1000,3.28,sr|en|sl|fr|de|sq
basque,basque.news-pravda.com,4015,2024-12-28,2026-09-07,319,11.84,en|es|eu|ca|gl|fr
belgique,belgique.news-pravda.com,12844,2024-11-08,2026-09-07,713,10.22,en|fr|nl|de|es|it
belgium,belgium.news-pravda.com,16021,2024-11-08,2026-09-07,894,8.75,nl|en|fr|de|es|it
bosnia-herzegovina,bosnia-herzegovina.news-pravda.com,72667,2024-03-27,2026-09-07,424,2.29,bs|en|sr|de|fr|hr
bulgaria,bulgaria.news-pravda.com,205288,2024-03-23,2026-09-07,1000,1.8,bg|en|de|ro|fr|hu
burkina-faso,burkina-faso.news-pravda.com,68817,2024-03-27,2026-09-07,693,2.98,fr|en|ar|de|pt|tr
cameroon,cameroon.news-pravda.com,1766,2024-12-28,2026-09-07,266,7.15,fr|en|ar|de|tr|it
canada,canada.news-pravda.com,35462,2024-11-08,2026-09-07,889,5.88,en|fr|de|da|es|pl
car,car.news-pravda.com,19579,2024-03-27,2026-09-07,480,3.67,fr|en|ar|de|pt|tr
catalan,catalan.news-pravda.com,4815,2024-12-28,2026-09-06,386,10.75,en|es|ca|gl|eu|fr
chad,chad.news-pravda.com,20572,2024-12-27,2026-09-07,239,4.26,ar|en|fr|de|tr|uk
croatia,croatia.news-pravda.com,13675,2024-03-23,2026-09-07,497,6.16,en|hr|sr|de|fr|it
cyprus,cyprus.news-pravda.com,5334,2024-03-28,2026-09-06,474,10.12,en|el|fr|de|tr|es
czechia,czechia.news-pravda.com,286231,2024-03-22,2026-09-07,928,1.6,cs|en|de|fr|pl|sk
denmark,denmark.news-pravda.com,46755,2024-03-23,2026-09-07,1000,6.4,en|da|fr|de|sv|es
deutsch,deutsch.news-pravda.com,545846,2023-06-23,2026-09-07,1000,2.9,de|en|fr|es|pl|uk
dprk,dprk.news-pravda.com,14475,2024-11-08,2026-09-07,761,6.8,en|ko|fr|de|ja|es
dutch,dutch.news-pravda.com,152248,2024-03-22,2026-09-07,1000,2.78,nl|en|fr|de|es|pl
egypt,egypt.news-pravda.com,64680,2024-12-27,2026-09-07,781,3.94,ar|en|fr|tr|de|es
en-hu,en-hu.news-pravda.com,40583,2024-11-28,2026-09-07,894,7.64,en|hu|de|fr|sk|es
en-jp,en-jp.news-pravda.com,26113,2024-11-29,2026-09-07,1000,7.33,en|ja|fr|de|ko|es
en-ro,en-ro.news-pravda.com,22760,2024-11-28,2026-09-07,848,8.42,en|ro|fr|de|pl|es
eritrea,eritrea.news-pravda.com,3890,2024-12-28,2026-09-06,105,3.99,ar|en|fr|ko|de|es
estonia,estonia.news-pravda.com,44922,2024-03-23,2026-09-07,1000,7.94,en|et|lv|lt|de|fr
eu,eu.news-pravda.com,187303,2024-11-08,2026-09-07,1000,3.42,en|de|fr|es|hu|pl
finland,finland.news-pravda.com,25687,2024-03-23,2026-09-07,886,7.49,en|fi|de|fr|sv|et
francais,francais.news-pravda.com,489908,2024-04-16,2026-09-07,1000,2.78,fr|en|de|es|it|pl
france,france.news-pravda.com,211352,2024-11-08,2026-09-07,1000,4.6,fr|en|de|it|es|pl
galician,galician.news-pravda.com,4151,2024-12-28,2026-09-04,357,11.72,en|es|gl|ca|eu|fr
gambia,gambia.news-pravda.com,638,2024-12-27,2026-09-04,155,8.61,en|fr|ar|tr|de|pt
ge,ge.news-pravda.com,85448,2024-10-28,2026-09-07,851,3.2,ka|en|fr|de|hy|ro
germany,germany.news-pravda.com,237333,2024-11-08,2026-09-07,1000,4.43,de|en|fr|pl|es|it
greece,greece.news-pravda.com,195376,2024-03-22,2026-09-07,825,1.72,el|en|fr|de|it|es
guinea,guinea.news-pravda.com,3085,2024-12-28,2026-09-06,259,6.83,fr|en|pt|ar|de|es
guinea-bissau,guinea-bissau.news-pravda.com,1039,2024-12-27,2026-09-07,175,9.37,en|pt|fr|ar|de|es
hu-hu,hu-hu.news-pravda.com,144439,2024-03-22,2026-09-07,950,2.8,hu|en|de|fr|sk|es
hungary,hungary.news-pravda.com,144589,2024-03-22,2026-09-07,950,2.8,hu|en|de|fr|sk|es
iceland,iceland.news-pravda.com,1100,2024-12-27,2026-09-07,214,18.19,en|is|fr|no|da|de
ireland,ireland.news-pravda.com,12867,2024-03-27,2026-09-07,481,6.0,en|ga|fr|de|es|nl
irish,irish.news-pravda.com,12874,2024-03-27,2026-09-07,481,6.0,en|ga|fr|de|es|nl
italy,italy.news-pravda.com,343601,2024-03-22,2026-09-07,1000,1.93,it|en|fr|de|es|pl
ja-jp,ja-jp.news-pravda.com,68186,2024-03-28,2026-09-07,1000,3.19,ja|en|fr|de|ko|es
japan,japan.news-pravda.com,68224,2024-03-28,2026-09-07,1000,3.19,ja|en|fr|de|ko|es
korea,korea.news-pravda.com,69249,2024-03-28,2026-09-07,1000,3.64,ko|en|ja|fr|de|es
latvia,latvia.news-pravda.com,73835,2024-03-23,2026-09-07,1000,5.8,en|lv|lt|et|de|fr
lithuania,lithuania.news-pravda.com,61356,2024-03-23,2026-09-07,1000,5.34,en|lt|lv|et|de|pl
lt,lt.news-pravda.com,61081,2024-03-23,2026-09-07,1000,5.33,en|lt|lv|et|de|pl
luxembourg,luxembourg.news-pravda.com,1648,2024-12-28,2026-09-07,305,14.61,en|lb|de|fr|nl|es
mali,mali.news-pravda.com,17326,2024-12-27,2026-09-07,552,5.16,fr|en|ar|de|es|pt
malta,malta.news-pravda.com,784,2024-12-29,2026-09-04,208,14.44,en|mt|fr|de|it|el
maori,maori.news-pravda.com,1432,2024-12-29,2026-09-07,290,12.74,en|mi|fr|de|ja|ko
mauritania,mauritania.news-pravda.com,4285,2024-12-27,2026-09-06,465,6.0,en|ar|fr|de|uk|pt
