mirror,date,source,source_type,credits,relationship
czechia,2024-04-01,Telegram: InfodefenseCZE,telegram,18,credited-by-mirror
czechia,2024-04-02,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-03,Telegram: InfodefenseCZE,telegram,18,credited-by-mirror
czechia,2024-04-04,Telegram: InfodefenseCZE,telegram,8,credited-by-mirror
czechia,2024-04-04,Telegram: Libertas_info_cz,telegram,46,credited-by-mirror
czechia,2024-04-04,Telegram: neCT24,telegram,26,credited-by-mirror
czechia,2024-04-05,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-05,Telegram: Libertas_info_cz,telegram,30,credited-by-mirror
czechia,2024-04-05,Telegram: neCT24,telegram,34,credited-by-mirror
czechia,2024-04-06,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-04-06,Telegram: Libertas_info_cz,telegram,15,credited-by-mirror
czechia,2024-04-06,Telegram: neCT24,telegram,43,credited-by-mirror
czechia,2024-04-07,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-04-07,Telegram: Libertas_info_cz,telegram,32,credited-by-mirror
czechia,2024-04-07,Telegram: neCT24,telegram,40,credited-by-mirror
czechia,2024-04-08,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-08,Telegram: Libertas_info_cz,telegram,21,credited-by-mirror
czechia,2024-04-08,Telegram: neCT24,telegram,33,credited-by-mirror
czechia,2024-04-09,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-09,Telegram: Libertas_info_cz,telegram,59,credited-by-mirror
czechia,2024-04-09,Telegram: neCT24,telegram,31,credited-by-mirror
czechia,2024-04-10,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
czechia,2024-04-10,Telegram: Libertas_info_cz,telegram,32,credited-by-mirror
czechia,2024-04-10,Telegram: neCT24,telegram,27,credited-by-mirror
czechia,2024-04-11,Telegram: InfodefenseCZE,telegram,14,credited-by-mirror
czechia,2024-04-11,Telegram: Libertas_info_cz,telegram,2,credited-by-mirror
czechia,2024-04-11,Telegram: neCT24,telegram,30,credited-by-mirror
czechia,2024-04-12,Telegram: InfodefenseCZE,telegram,12,credited-by-mirror
czechia,2024-04-12,Telegram: Libertas_info_cz,telegram,23,credited-by-mirror
czechia,2024-04-12,Telegram: neCT24,telegram,38,credited-by-mirror
czechia,2024-04-13,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-13,Telegram: Libertas_info_cz,telegram,66,credited-by-mirror
czechia,2024-04-13,Telegram: neCT24,telegram,50,credited-by-mirror
czechia,2024-04-14,Telegram: InfodefenseCZE,telegram,16,credited-by-mirror
czechia,2024-04-14,Telegram: Libertas_info_cz,telegram,75,credited-by-mirror
czechia,2024-04-14,Telegram: neCT24,telegram,50,credited-by-mirror
czechia,2024-04-15,Telegram: InfodefenseCZE,telegram,10,credited-by-mirror
czechia,2024-04-15,Telegram: Libertas_info_cz,telegram,29,credited-by-mirror
czechia,2024-04-15,Telegram: neCT24,telegram,38,credited-by-mirror
czechia,2024-04-16,Telegram: InfodefenseCZE,telegram,12,credited-by-mirror
czechia,2024-04-16,Telegram: Libertas_info_cz,telegram,62,credited-by-mirror
czechia,2024-04-16,Telegram: neCT24,telegram,39,credited-by-mirror
czechia,2024-04-17,Telegram: InfodefenseCZE,telegram,9,credited-by-mirror
czechia,2024-04-17,Telegram: Libertas_info_cz,telegram,47,credited-by-mirror
czechia,2024-04-17,Telegram: neCT24,telegram,35,credited-by-mirror
czechia,2024-04-18,Telegram: InfodefenseCZE,telegram,14,credited-by-mirror
czechia,2024-04-18,Telegram: Libertas_info_cz,telegram,26,credited-by-mirror
czechia,2024-04-18,Telegram: neCT24,telegram,28,credited-by-mirror
czechia,2024-04-19,Telegram: InfodefenseCZE,telegram,9,credited-by-mirror
czechia,2024-04-19,Telegram: Libertas_info_cz,telegram,92,credited-by-mirror
czechia,2024-04-19,Telegram: neCT24,telegram,42,credited-by-mirror
czechia,2024-04-20,Telegram: InfodefenseCZE,telegram,12,credited-by-mirror
czechia,2024-04-20,Telegram: Libertas_info_cz,telegram,74,credited-by-mirror
czechia,2024-04-20,Telegram: neCT24,telegram,32,credited-by-mirror
czechia,2024-04-21,Telegram: InfodefenseCZE,telegram,13,credited-by-mirror
